tokens	pos	annotation
in	ADP	
quo	PRON	
preter	ADP	
moralia	ADJ	
pleraque	DET	
quae	PRON	
tradit	VERB	
precepta	VERB	
quid	PRON	
sit	AUX	
amicitia	NOUN	
et	CCONJ	
quibus	PRON	
legibus	NOUN	
ipsa	DET	
non	PART	
fucata	VERB	
astringatur	VERB	
erudite	VERB	
admodum	ADV	
explicat	VERB	
quantus	DET	
sit	AUX	
eius	PRON	
fructus	NOUN	
quamque	ADV	
utile	ADJ	
amari	VERB	
abunde	ADV	
declarans	VERB	
Caio	PROPN	
Lelio	PROPN	
natu	NOUN	
grandiore	ADJ	
docentis	VERB	
et	CCONJ	
Fannio	PROPN	
ac	CCONJ	
Scevola	ADJ	PROPN
interrogationi	NOUN	
partes	NOUN	
exequentibus	VERB	
