tokens	pos	annotation
filiorum	NOUN	
tam	ADV	
a	ADP	
civibus	NOUN	
quam	SCONJ	
a	ADP	
principibus	NOUN	
et	CCONJ	
quibus	PRON	
disciplinis	NOUN	
atque	CCONJ	
moribus	NOUN	
sint	AUX	
imbuendi	VERB	
ac	CCONJ	
sub	ADP	
quo	PRON	
preceptore	NOUN	
debeant	VERB	
militare	VERB	
in	ADP	
tertia	ADJ	
vero	ADV	
huius	DET	
secundi	ADJ	
libri	NOUN	
parte	NOUN	
docet	VERB	
quae	PRON	
sit	AUX	
habenda	VERB	
principibus	NOUN	
atque	CCONJ	
regibus	NOUN	
cura	NOUN	
ministrorum	NOUN	
et	CCONJ	
familiae	NOUN	
suae	DET	
ubi	ADV	
permixtim	ADV	
explicat	VERB	
quam	SCONJ	
utile	ADJ	
fuerit	AUX	
possessiones	NOUN	
sub	ADP	
proprietate	NOUN	
distingere	VERB	
docet	VERB	
et	CCONJ	
quod	SCONJ	
temperamentum	NOUN	
sit	AUX	
asservandum	VERB	
in	ADP	
edifitiis	NOUN	
extruendis	VERB	
qualiter	ADV	
que	CCONJ	
utendum	VERB	
sit	AUX	
bonis	ADJ	
exterioribus	ADJ	
disserit	VERB	
praeterea	ADV	
de	ADP	
necessitate	NOUN	
inventionis	NOUN	
pecuniarum	NOUN	
et	CCONJ	
de	ADP	
spetiebus	NOUN	
commutationum	NOUN	
licitis	ADJ	
et	CCONJ	
illicitis	ADJ	
necnon	CCONJ	
de	ADP	
multiplici	ADJ	
servitute	NOUN	
naturali	ADJ	
scilicet	CCONJ	ADV
legali	ADJ	
positiva	ADJ	
et	CCONJ	
conducta	VERB	
ac	CCONJ	
dilectiva	ADJ	
tertium	ADJ	
post	ADP	
hec	DET	
librum	NOUN	
in	ADP	
treis	NOUN	ADJ
item	ADV	
distingit	VERB	
partes	NOUN	
in	ADP	
quarum	PRON	
prima	ADJ	
tractat	VERB	
de	ADP	
utilitate	NOUN	
comunitatis	NOUN	
tam	CCONJ	
domestice	ADJ	
quam	SCONJ	CCONJ
civitatis	NOUN	
et	CCONJ	
regni	NOUN	
ubi	ADV	
habes	VERB	
contra	ADP	
Socratem	PROPN	
et	CCONJ	
philosophum	NOUN	
quemdam	DET	
cui	PRON	
felleae	NOUN	PROPN
nomen	NOUN	
ac	CCONJ	
contra	ADP	
Hyppodonium	PROPN	
quemdam	DET	
proprietatis	NOUN	
astructionem	NOUN	
probatum	VERB	
que	CCONJ	
non	PART	
expedire	VERB	
ut	SCONJ	
omnia	DET	
sint	AUX	
in	ADP	
republica	NOUN	
communia	ADJ	
ut	SCONJ	
illi	DET	
statuebant	VERB	
ne	SCONJ	
uxores	NOUN	
quidem	PART	
aut	CCONJ	
filios	NOUN	
eximentes	VERB	
deinde	ADV	
in	ADP	
secunda	ADJ	
huius	DET	
libri	NOUN	
parte	NOUN	
docet	VERB	
quomodo	ADV	
regenda	VERB	
sit	AUX	
civitas	NOUN	
atque	CCONJ	
regnum	NOUN	
tempore	NOUN	
pacis	NOUN	
ubi	ADV	
de	ADP	
regis	NOUN	
offitio	NOUN	
et	CCONJ	
de	ADP	
tyrannidis	NOUN	
de	ADP	
testatione	NOUN	
deque	ADP	ADV
magistratuum	NOUN	
conditione	NOUN	
quales	DET	
scilicet	CCONJ	ADV
esse	AUX	
debent	VERB	
et	CCONJ	
de	ADP	
regis	NOUN	
consiliariis	NOUN	
et	CCONJ	
iuditio	NOUN	
recto	ADJ	
ac	CCONJ	
iudice	NOUN	
bono	ADJ	
necnon	CCONJ	
de	ADP	
legum	NOUN	
variarum	ADJ	
distinctione	NOUN	
deque	ADP	ADV
sanctione	NOUN	
seu	CCONJ	
latione	NOUN	
novarumhabes	VERB	X
quidquid	PRON	
philosophus	NOUN	
ac	CCONJ	
frugi	ADJ	
homo	NOUN	
docere	VERB	
potuerat	VERB	
in	ADP	
tertia	ADJ	
vero	ADV	
parte	NOUN	
docet	VERB	
quomodo	SCONJ	
gubernanda	VERB	
sit	AUX	
respublica	NOUN	
tempore	NOUN	
belli	NOUN	
ubi	ADV	
nihil	PRON	
est	AUX	
omissum	VERB	
eorum	PRON	
que	CCONJ	PRON
ad	ADP	
bellum	NOUN	
gerendum	VERB	
et	CCONJ	
ad	ADP	
castra	NOUN	
munienda	VERB	
ac	CCONJ	
ad	ADP	
duces	NOUN	
et	CCONJ	
milites	NOUN	
eligendosad	ADJ	X
exertitum	VERB	
instruendumad	VERB	X
na	ADV	X
vale	VERB	X
bellum	NOUN	
in	ADP	
eundum	VERB	
conducat	VERB	
de	ADP	
omnibus	DET	
enim	PART	
iis	PRON	
et	CCONJ	
de	ADP	
plusculis	NOUN	
quae	PRON	
facile	ADV	
coniicies	VERB	
fore	AUX	
accessoria	NOUN	
abunde	ADV	
hic	ADV	
edisserit	VERB	
