,tokens,pos,annotation
118,et,CCONJ,
119,qua,PRON,
120,servata,VERB,
121,honestatem,NOUN,
122,non,PART,
123,laedas,VERB,
124,si,SCONJ,
125,enim,PART,
126,adolescens,VERB,
127,es,AUX,
128,et,CCONJ,
129,intra,ADV,
130,adhuc,ADV,
131,fortune,NOUN,
132,aream,NOUN,
133,clausus,VERB,
134,quo,PRON,
135,adolescentiam,NOUN,
136,cum,ADP,
137,gloria,NOUN,
138,atque,CCONJ,
139,honore,NOUN,
140,conteras,VERB,
141,ac,CCONJ,
142,cum,ADP,
143,decore,NOUN,
144,foelicem,NOUN,
145,assequaris,VERB,
146,senectutem,NOUN,
147,habes,VERB,
148,hic,ADV,
149,antidota,NOUN,
150,preclarissima,ADJ,
151,nec,CCONJ,
152,senibus,NOUN,
153,gravatus,VERB,
154,est,AUX,
155,dare,VERB,
156,consilium,NOUN,
157,quo,PRON,
158,senectutem,NOUN,
159,non,PART,
160,labefactent,VERB,
161,sed,CCONJ,
162,quomodo,ADV,
163,hii,DET,
164,erga,ADP,
165,adolescentes,ADJ,
166,se,PRON,
167,habere,VERB,
168,qualiter,ADV,
169,que,CCONJ,
170,reipublicae,NOUN,
171,subvenire,VERB,
172,debeant,VERB,
173,consilio,NOUN,
174,et,CCONJ,
175,qualiter,SCONJ,
176,adolescentes,ADJ,
177,hos,DET,
178,revereri,VERB,
179,teneantur,VERB,
180,erudite,VERB,
181,admodum,ADV,
182,docet,VERB,
183,cum,SCONJ,
184,autem,PART,
185,virtutes,NOUN,
186,eas,PRON,
187,quae,PRON,
188,honesti,NOUN,
189,normam,NOUN,
190,edificant,VERB,
191,speciatim,ADV,
192,recenset,VERB,
193,vitia,NOUN,
194,sit,AUX,
195,annectit,VERB,
196,quibus,PRON,
197,honestas,NOUN,
198,labefactaturunum,NOUN,
199,cum,SCONJ,
200,de,ADP,
201,iustitie,NOUN,
202,eminentia,NOUN,
203,inter,ADP,
204,virtutes,NOUN,
205,edisserit,VERB,
206,ac,CCONJ,
207,quanto,DET,
208,studio,NOUN,
209,servanda,VERB,
210,sit,AUX,
211,admonet,VERB,
212,iniustitie,NOUN,
213,et,CCONJ,
214,iniuriarum,NOUN,
215,genera,NOUN,
216,simul,ADV,
217,explicat,VERB,
218,et,CCONJ,
219,hic,ADV,
220,quam,SCONJ,
221,ob,ADP,
222,causam,NOUN,
223,sint,AUX,
224,suscipienda,VERB,
225,bella,NOUN,
226,quaeque,DET,
227,ad,ADP,
228,id,PRON,
229,iuste,ADV,
230,sint,AUX,
231,occasiones,NOUN,
232,annectit,VERB,
233,cum,ADP,
234,preterea,ADV,
235,de,ADP,
236,liberalitate,NOUN,
237,quam,SCONJ,
238,summopere,ADV,
239,commendat,VERB,
240,sermonem,NOUN,
241,facit,VERB,
242,in,ADP,
243,quo,PRON,
244,ipsa,DET,
245,consistat,VERB,
246,et,CCONJ,
247,varia,ADJ,
248,ab,ADP,
249,ea,PRON,
250,manantia,VERB,
251,largitionum,NOUN,
252,genera,NOUN,
253,ac,CCONJ,
254,que,CCONJ,
255,eius,PRON,
256,habenda,VERB,
257,sit,AUX,
258,ratio,NOUN,
259,simul,ADV,
260,edocet,VERB,
261,de,ADP,
262,fortitudine,NOUN,
263,autem,PART,
264,loquens,VERB,
265,audaciam,NOUN,
266,ac,CCONJ,
267,adulteram,NOUN,
268,illam,DET,
269,cum,ADP,
270,elationem,NOUN,
271,a,ADP,
272,fortitudine,NOUN,
273,dissidentem,VERB,
274,detestatur,VERB,
275,et,CCONJ,
276,hic,ADV,
277,quid,PRON,
278,belli,NOUN,
279,tempore,NOUN,
280,imperatoribus,NOUN,
281,ac,CCONJ,
282,magistratibus,NOUN,
283,conducat,VERB,
284,coniunctim,ADV,
285,explicat,VERB,
286,rempublicam,ADJ,
287,auctoritate,NOUN,
288,et,CCONJ,
289,consilio,NOUN,
290,tuentes,VERB,
291,belli,NOUN,
292,ducibus,NOUN,
293,haud,PART,
294,quaquam,ADV,
295,postponendos,VERB,
296,esse,AUX,
297,consentiens,VERB,
298,docet,VERB,
299,et,CCONJ,
300,circa,ADP,
301,hec,DET,
302,quam,SCONJ,
303,foedum,ADJ,
304,sit,AUX,
305,ambitionis,NOUN,
306,vitium,NOUN,
307,et,CCONJ,
308,quid,PRON,
309,precipue,ADV,
310,cumadvertendum,VERB,
311,eis,PRON,
312,est,AUX,
313,qui,PRON,
314,alias,DET,
315,sunt,AUX,
316,punituri,VERB,
317,de,ADP,
318,temperantia,NOUN,
319,posthec,VERB,
320,sermonem,NOUN,
321,habens,VERB,
322,latius,ADV,
323,evagatur,VERB,
324,et,CCONJ,
325,in,ADP,
326,rebus,NOUN,
327,omnibus,DET,
328,mediocritatem,NOUN,
329,quamdum,ADV,
330,commendat,VERB,
331,et,CCONJ,
332,hic,DET,
333,unicuique,DET,
334,proponendum,VERB,
335,esse,AUX,
336,ait,VERB,
337,vite,NOUN,
338,quoddam,DET,
339,institutum,VERB,
340,ad,ADP,
341,quod,PRON,
342,omnes,DET,
343,suas,DET,
344,actiones,NOUN,
345,dirigat,VERB,
346,hic,ADV,
347,item,ADV,
348,pudoris,NOUN,
349,iocandi,VERB,
350,ludendi,VERB,
351,sermonis,NOUN,
352,magnam,ADJ,
353,habendam,VERB,
354,esse,AUX,
355,rationem,NOUN,
356,hortaturdocet,VERB,
357,preterea,ADV,
358,quae,PRON,
359,artium,NOUN,
360,sint,AUX,
361,honeste,ADV,
362,et,CCONJ,
363,qui,PRON,
364,quaestus,NOUN,
365,ab,ADP,
366,honestate,NOUN,
367,devient,VERB,
368,cumque,SCONJ,
369,gloriam,NOUN,
370,perfectam,ADJ,
371,ad,ADP,
372,quam,PRON,
373,omnes,DET,
374,intendimur,VERB,
375,consistere,VERB,
376,dicat,VERB,
377,in,ADP,
378,multitudinis,NOUN,
379,dilectione,NOUN,
380,et,CCONJ,
381,fide,NOUN,
382,ac,CCONJ,
383,admiratione,NOUN,
384,qua,PRON,
385,nos,PRON,
386,populus,NOUN,
387,honore,NOUN,
388,dignos,ADJ,
389,estimat,VERB,
390,quo,PRON,
391,hec,DET,
392,modo,ADV,
393,acquiri,VERB,
394,possint,VERB,
395,ad,ADP,
396,amussim,ADV,
397,ostendit,VERB,
398,detestatur,VERB,
399,et,CCONJ,
400,in,ADP,
401,prefatis,DET,
402,libris,NOUN,
403,summopere,ADV,
404,avaritiam,NOUN,
405,qua,PRON,
406,penitus,ADV,
407,debere,VERB,
408,vacuum,ADJ,
409,esse,AUX,
410,censet,VERB,
411,eum,PRON,
412,qui,PRON,
413,publicis,ADJ,
414,fungitur,VERB,
415,muneribus,NOUN,
416,postremo,ADV,
417,autem,PART,
418,offitii,NOUN,
419,cognoscendi,VERB,
420,formulam,NOUN,
421,ostendens,VERB,
422,utilitatem,NOUN,
423,veram,ADJ,
424,necessario,ADV,
425,coniunctam,VERB,
426,esse,AUX,
427,honesti,NOUN,
428,pluribus,DET,
429,rationibus,NOUN,
430,deducit,VERB,
431,ut,ADV,
432,que,CCONJ,
433,particularibus,ADJ,
434,iis,PRON,
435,quae,PRON,
436,precipuam,ADV,
437,officiorum,NOUN,
438,voluminis,NOUN,
439,supellectilem,NOUN,
440,constituunt,VERB,
441,missa,VERB,
442,faciam,VERB,
443,vite,NOUN,
444,honeste,ADV,
445,ratio,NOUN,
446,et,CCONJ,
447,typus,NOUN,
448,abunde,ADV,
449,ex,ADP,
450,eo,PRON,
451,volumine,NOUN,
452,colligi,VERB,
453,potest,VERB,
454,cui,PRON,
455,plerumque,DET,
456,dyalogus,NOUN,
457,quidam,DET,
458,assuitur,VERB,
459,eiusdem,DET,
460,Ciceronis,PROPN,
461,de,ADP,
462,amicitia,NOUN,
463,in,ADP,
464,quo,PRON,
465,preter,ADP,
466,moralia,ADJ,
467,pleraque,DET,
468,quae,PRON,
469,tradit,VERB,
470,precepta,VERB,
471,quid,PRON,
472,sit,AUX,
473,amicitia,NOUN,
474,et,CCONJ,
475,quibus,PRON,
476,legibus,NOUN,
477,ipsa,DET,
478,non,PART,
479,fucata,VERB,
480,astringatur,VERB,
481,erudite,VERB,
482,admodum,ADV,
483,explicat,VERB,
484,quantus,DET,
485,sit,AUX,
486,eius,PRON,
487,fructus,NOUN,
488,quamque,ADV,
489,utile,ADJ,
490,amari,VERB,
491,abunde,ADV,
492,declarans,VERB,
493,Caio,PROPN,
494,Lelio,PROPN,
495,natu,NOUN,
496,grandiore,ADJ,
497,docentis,VERB,
498,et,CCONJ,
499,Fannio,PROPN,
500,ac,CCONJ,
501,Scevola,ADJ,
502,interrogationi,NOUN,
503,partes,NOUN,
504,exequentibus,VERB,
