,tokens,pos
301,tertia,ADJ
302,vero,ADV
303,huius,DET
304,secundi,ADJ
305,libri,NOUN
306,parte,NOUN
307,docet,VERB
308,quae,PRON
309,sit,AUX
310,habenda,VERB
311,principibus,NOUN
312,atque,CCONJ
313,regibus,NOUN
314,cura,NOUN
315,ministrorum,NOUN
316,et,CCONJ
317,familiae,NOUN
318,suae,DET
319,ubi,ADV
320,permixtim,ADV
321,explicat,VERB
322,quam,SCONJ
323,utile,ADJ
324,fuerit,AUX
325,possessiones,NOUN
326,sub,ADP
327,proprietate,NOUN
328,distingere,VERB
329,docet,VERB
330,et,CCONJ
331,quod,SCONJ
332,temperamentum,NOUN
333,sit,AUX
334,asservandum,VERB
335,in,ADP
336,edifitiis,NOUN
337,extruendis,VERB
338,qualiter,ADV
339,que,CCONJ
340,utendum,VERB
341,sit,AUX
342,bonis,ADJ
343,exterioribus,ADJ
344,disserit,VERB
345,praeterea,ADV
346,de,ADP
347,necessitate,NOUN
348,inventionis,NOUN
349,pecuniarum,NOUN
350,et,CCONJ
351,de,ADP
352,spetiebus,NOUN
353,commutationum,NOUN
354,licitis,ADJ
355,et,CCONJ
356,illicitis,ADJ
357,necnon,CCONJ
358,de,ADP
359,multiplici,ADJ
360,servitute,NOUN
361,naturali,ADJ
362,scilicet,CCONJ
363,legali,ADJ
364,positiva,ADJ
365,et,CCONJ
366,conducta,VERB
367,ac,CCONJ
368,dilectiva,ADJ
369,tertium,ADJ
370,post,ADP
371,hec,DET
372,librum,NOUN
373,in,ADP
374,treis,NOUN
375,item,ADV
376,distingit,VERB
377,partes,NOUN
378,in,ADP
379,quarum,PRON
380,prima,ADJ
381,tractat,VERB
382,de,ADP
383,utilitate,NOUN
384,comunitatis,NOUN
385,tam,CCONJ
386,domestice,ADJ
387,quam,SCONJ
388,civitatis,NOUN
389,et,CCONJ
390,regni,NOUN
391,ubi,ADV
392,habes,VERB
393,contra,ADP
394,Socratem,PROPN
395,et,CCONJ
396,philosophum,NOUN
397,quemdam,DET
398,cui,PRON
399,felleae,NOUN
400,nomen,NOUN
401,ac,CCONJ
402,contra,ADP
403,Hyppodonium,PROPN
404,quemdam,DET
405,proprietatis,NOUN
406,astructionem,NOUN
407,probatum,VERB
408,que,CCONJ
409,non,PART
410,expedire,VERB
411,ut,SCONJ
412,omnia,DET
413,sint,AUX
414,in,ADP
415,republica,NOUN
416,communia,ADJ
417,ut,SCONJ
418,illi,DET
419,statuebant,VERB
420,ne,SCONJ
421,uxores,NOUN
422,quidem,PART
423,aut,CCONJ
424,filios,NOUN
425,eximentes,VERB
426,deinde,ADV
427,in,ADP
428,secunda,ADJ
429,huius,DET
430,libri,NOUN
431,parte,NOUN
432,docet,VERB
433,quomodo,ADV
434,regenda,VERB
435,sit,AUX
436,civitas,NOUN
437,atque,CCONJ
438,regnum,NOUN
439,tempore,NOUN
440,pacis,NOUN
441,ubi,ADV
442,de,ADP
443,regis,NOUN
444,offitio,NOUN
445,et,CCONJ
446,de,ADP
447,tyrannidis,NOUN
448,de,ADP
449,testatione,NOUN
450,deque,ADP
451,magistratuum,NOUN
452,conditione,NOUN
453,quales,DET
454,scilicet,CCONJ
455,esse,AUX
456,debent,VERB
457,et,CCONJ
458,de,ADP
459,regis,NOUN
460,consiliariis,NOUN
461,et,CCONJ
462,iuditio,NOUN
463,recto,ADJ
464,ac,CCONJ
465,iudice,NOUN
466,bono,ADJ
467,necnon,CCONJ
468,de,ADP
469,legum,NOUN
470,variarum,ADJ
471,distinctione,NOUN
472,deque,ADP
473,sanctione,NOUN
474,seu,CCONJ
475,latione,NOUN
476,novarumhabes,VERB
477,quidquid,PRON
478,philosophus,NOUN
479,ac,CCONJ
480,frugi,ADJ
481,homo,NOUN
482,docere,VERB
483,potuerat,VERB
484,in,ADP
485,tertia,ADJ
486,vero,ADV
487,parte,NOUN
488,docet,VERB
489,quomodo,SCONJ
490,gubernanda,VERB
491,sit,AUX
492,respublica,NOUN
493,tempore,NOUN
494,belli,NOUN
495,ubi,ADV
496,nihil,PRON
497,est,AUX
498,omissum,VERB
499,eorum,PRON
500,que,CCONJ
501,ad,ADP
502,bellum,NOUN
503,gerendum,VERB
504,et,CCONJ
505,ad,ADP
506,castra,NOUN
507,munienda,VERB
508,ac,CCONJ
509,ad,ADP
510,duces,NOUN
511,et,CCONJ
512,milites,NOUN
513,eligendosad,ADJ
514,exertitum,VERB
515,instruendumad,VERB
516,na,ADV
517,vale,VERB
518,bellum,NOUN
519,in,ADP
520,eundum,VERB
521,conducat,VERB
522,de,ADP
523,omnibus,DET
524,enim,PART
525,iis,PRON
526,et,CCONJ
527,de,ADP
528,plusculis,NOUN
529,quae,PRON
530,facile,ADV
531,coniicies,VERB
532,fore,AUX
533,accessoria,NOUN
534,abunde,ADV
535,hic,ADV
536,edisserit,VERB
